epoch,auc,loss,lr,precision,recall,recall_1,val_auc,val_loss,val_precision,val_recall,val_recall_1
0,0.940575897693634,0.024118822067975998,1e-04,0.6361848711967468,0.3112935423851013,0.595830500125885,0.9737728238105774,0.014041019603610039,0.7877838015556335,0.5505352020263672,0.7743359208106995
1,0.9716095924377441,0.01295801904052496,1e-04,0.8314750790596008,0.5507024526596069,0.7667830586433411,0.9702534675598145,0.012563417665660381,0.8125225901603699,0.5928440093994141,0.7701374888420105
2,0.9743879437446594,0.011923637241125107,1e-04,0.8441771268844604,0.5917273759841919,0.7849990725517273,0.9727108478546143,0.011769353412091732,0.8226898312568665,0.6269582509994507,0.7903041243553162
3,0.975951611995697,0.011356718838214874,1e-04,0.8512363433837891,0.6127253174781799,0.7956377267837524,0.9743988513946533,0.01129167154431343,0.8327949643135071,0.636751651763916,0.7997368574142456
4,0.9770840406417847,0.010963451117277145,1e-04,0.8560090065002441,0.6268119812011719,0.803136944770813,0.9723919630050659,0.011248301714658737,0.841390073299408,0.6326465010643005,0.7912952303886414
5,0.978004515171051,0.010660955682396889,1e-04,0.8594887256622314,0.6372621059417725,0.8091238141059875,0.9762886166572571,0.010794715024530888,0.8302989602088928,0.6614534258842468,0.8135532140731812
6,0.9787827730178833,0.010415980592370033,1e-04,0.8621530532836914,0.6454406976699829,0.8139346241950989,0.9741435647010803,0.01059012208133936,0.8499948978424072,0.6563071608543396,0.8053317666053772
7,0.9795011878013611,0.010208522900938988,1e-04,0.8642703890800476,0.6521702408790588,0.8181945085525513,0.9789246916770935,0.010523718781769276,0.839590311050415,0.6678758859634399,0.8169769644737244
8,0.9801074266433716,0.010030629113316536,1e-04,0.8660147786140442,0.6578962802886963,0.8218817114830017,0.9775955677032471,0.01053038239479065,0.8355432748794556,0.6673272252082825,0.8178136944770813
9,0.980670690536499,0.00987214408814907,1e-04,0.8675122857093811,0.6628594994544983,0.8251714706420898,0.9761521816253662,0.01029418408870697,0.8487097024917603,0.6668343544006348,0.8134647011756897
10,0.9811743497848511,0.009729688987135887,1e-04,0.868725061416626,0.6671950221061707,0.8283637762069702,0.9807037711143494,0.01007844414561987,0.8422926068305969,0.6843028664588928,0.8321787118911743
11,0.9816504716873169,0.009601949714124203,1e-04,0.8698112964630127,0.670968770980835,0.8312010765075684,0.977170467376709,0.010105730034410954,0.8434470891952515,0.6787550449371338,0.8210821747779846
12,0.9820705652236938,0.00948526430875063,1e-04,0.8708173036575317,0.6744357347488403,0.8338077068328857,0.97710782289505,0.010037628002464771,0.8554056286811829,0.6711553931236267,0.815724790096283
13,0.9824912548065186,0.009374813176691532,1e-04,0.8716500997543335,0.6776300072669983,0.8363580107688904,0.9792470335960388,0.009890381246805191,0.8470341563224792,0.6847385168075562,0.8298282027244568
14,0.982881486415863,0.009272677823901176,1e-04,0.8723809123039246,0.6805480718612671,0.8387404680252075,0.9794684052467346,0.009978434070944786,0.8457154035568237,0.6806992292404175,0.8285154104232788
