epoch,GOOGLE_CRNN_auc,GOOGLE_CRNN_loss,GOOGLE_CRNN_precision,GOOGLE_CRNN_recall,GOOGLE_CRNN_recall_1,aux_bgm_flag_predictions_loss,aux_spec_predictions_loss,loss,val_GOOGLE_CRNN_auc,val_GOOGLE_CRNN_loss,val_GOOGLE_CRNN_precision,val_GOOGLE_CRNN_recall,val_GOOGLE_CRNN_recall_1,val_aux_bgm_flag_predictions_loss,val_aux_spec_predictions_loss,val_loss
0,0.9605318903923035,0.012410592287778854,0.8489711284637451,0.624297022819519,0.767042875289917,0.13404086232185364,4.031888961791992,0.01657651551067829,0.9139719605445862,0.016953568905591965,0.838712751865387,0.4872162640094757,0.63616943359375,1.3599536418914795,8.835259437561035,0.0271487757563591
1,0.9541438817977905,0.01331285573542118,0.8380199074745178,0.6035234928131104,0.7470124363899231,0.15475226938724518,4.342748641967773,0.017810354009270668,0.7312441468238831,0.03666785731911659,0.7169183492660522,0.13481338322162628,0.241550013422966,4.926859378814697,24.964916229248047,0.06655965745449066
2,0.5293665528297424,0.05238284915685654,0.07048984616994858,0.00014178962737787515,0.002085357205942273,0.7279873490333557,19.758365631103516,0.07286921888589859,0.5049276351928711,0.058867547661066055,0.00572910625487566,7.114365143934265e-05,0.0009594779112376273,2.1504485498237747e+17,3.5353565883006976e+16,250398422073344.0
3,0.5047758221626282,0.06019366532564163,0.003848738968372345,1.0574149200692773e-05,0.0004849941760767251,8.876137733459473,21.257675170898438,0.09032738953828812,0.5000194311141968,0.06501996517181396,0.0,0.0,3.172622382408008e-05,0.9367051720619202,19.824234008789062,0.08578088134527206
4,0.5000433325767517,0.06502777338027954,0.0,0.0,3.733853009180166e-05,20.788253784179688,22.214012145996094,0.10802995413541794,0.5000194311141968,0.06501996517181396,0.0,0.0,3.172622382408008e-05,15.727103233337402,20.50156593322754,0.10124863684177399
5,0.5000436305999756,0.06502772122621536,0.0,0.0,3.733847552211955e-05,20.370948791503906,21.0736083984375,0.10647211968898773,0.5000194311141968,0.06501996517181396,0.0,0.0,3.172622382408008e-05,53.63664627075195,20.346633911132812,0.13900329172611237
6,0.5000431537628174,0.06502781808376312,0.0,0.0,3.7313042412279174e-05,20.370712280273438,21.064294815063477,0.10646280646324158,0.5000194311141968,0.06501996517181396,0.0,0.0,3.172622382408008e-05,23.382404327392578,21.46739387512207,0.10986968874931335
7,0.5000433325767517,0.06502695381641388,0.0,0.0,3.7338872061809525e-05,19.568185806274414,21.267454147338867,0.10586275160312653,0.5000194311141968,0.06501996517181396,0.0,0.0,3.172622382408008e-05,17.751150131225586,20.14617156982422,0.10291731357574463
8,0.5000433921813965,0.0650285929441452,0.0,0.0,3.733804987859912e-05,20.069623947143555,21.725366592407227,0.1068236231803894,0.5000194311141968,0.06501996517181396,0.0,0.0,3.172622382408008e-05,51.688289642333984,21.511659622192383,0.1382198929786682
9,0.500043511390686,0.06502705067396164,0.0,0.0,3.736415965249762e-05,19.692533493041992,21.27248764038086,0.10599184036254883,0.5000194311141968,0.06501996517181396,0.0,0.0,3.172622382408008e-05,1.0218878984451294,20.49417495727539,0.0865359678864479
