epoch,auc,loss,precision,recall,recall_1,val_auc,val_loss,val_precision,val_recall,val_recall_1
0,0.9218183159828186,0.07059133052825928,0.6613937020301819,0.33162593841552734,0.5617684125900269,0.9793633222579956,0.03386940062046051,0.5296016335487366,0.6110947728157043,0.8328922986984253
1,0.9301208257675171,0.06792066246271133,0.7047169804573059,0.3223016560077667,0.5754861235618591,0.9778873920440674,0.029638102278113365,0.5825261473655701,0.5835538506507874,0.8136822581291199
2,0.9348781108856201,0.06683892011642456,0.7175207734107971,0.3299960792064667,0.5858698487281799,0.9769629240036011,0.027574066072702408,0.6071051955223083,0.5644418597221375,0.8041752576828003
3,0.9386239051818848,0.06373283267021179,0.7295804023742676,0.34221258759498596,0.6012862920761108,0.9754009246826172,0.026323191821575165,0.622905969619751,0.5575811266899109,0.7969224452972412
4,0.9383183121681213,0.06440264731645584,0.7318149209022522,0.34218934178352356,0.5964963436126709,0.9753383994102478,0.025785095989704132,0.634429395198822,0.5465059280395508,0.7918259501457214
5,0.9405686259269714,0.06328652054071426,0.7330635786056519,0.34786632657051086,0.6082836389541626,0.9745604991912842,0.02544613555073738,0.6389370560646057,0.5419974327087402,0.7902577519416809
6,0.9411066174507141,0.06455054134130478,0.7370710968971252,0.3457983434200287,0.6059173345565796,0.9745094776153564,0.025294605642557144,0.639105498790741,0.5462118983268738,0.7923159599304199
7,0.9422125816345215,0.06290037930011749,0.7472922801971436,0.3574809730052948,0.6154654622077942,0.9744457602500916,0.025021985173225403,0.6438040137290955,0.5473880171775818,0.7901597619056702
8,0.9428605437278748,0.06264574825763702,0.7471811175346375,0.35977113246917725,0.6142865419387817,0.9744499325752258,0.024960221722722054,0.6428324580192566,0.5463098883628845,0.7910418510437012
9,0.9431549310684204,0.06244829297065735,0.7444538474082947,0.3584887981414795,0.6125824451446533,0.9726587533950806,0.024456938728690147,0.6518256664276123,0.5423895120620728,0.7918259501457214
10,0.9434739947319031,0.06303712725639343,0.7462164163589478,0.3580295145511627,0.6141443252563477,0.974328339099884,0.024640684947371483,0.6483749151229858,0.5396451950073242,0.7898657321929932
