epoch,c_auc,c_precision,c_recall,c_recall_1,loss,val_c_auc,val_c_precision,val_c_recall,val_c_recall_1,val_loss
0,0.9981597661972046,0.10551297664642334,0.9721465706825256,0.9943984746932983,0.0786731168627739,0.9974554181098938,0.10170569270849228,0.9746192693710327,0.9949238300323486,0.1267441064119339
1,0.9975411295890808,0.09287074953317642,0.9673383831977844,0.9923580288887024,0.09421028941869736,0.9962759017944336,0.05438922345638275,0.9810490608215332,0.9962775111198425,0.15860621631145477
2,0.9985377788543701,0.10967113822698593,0.9755119681358337,0.9963107705116272,0.07374018430709839,0.9976780414581299,0.0845678299665451,0.9813874959945679,0.9969543218612671,0.11958310753107071
3,0.9983102083206177,0.10533207654953003,0.9771834015846252,0.9959675073623657,0.0788346454501152,0.9976375699043274,0.10609729588031769,0.9786801934242249,0.995600700378418,0.1122177392244339
4,0.9985321760177612,0.11373230069875717,0.9757696986198425,0.9966190457344055,0.0751347616314888,0.9977847337722778,0.11277902871370316,0.9813874959945679,0.9952622652053833,0.11023394018411636
5,0.9985373020172119,0.11616893112659454,0.9752674102783203,0.9959300756454468,0.07131143659353256,0.9977738857269287,0.12550343573093414,0.9807106852531433,0.9945854544639587,0.10383354872465134
6,0.9984557628631592,0.11792455613613129,0.976550281047821,0.9962096214294434,0.07191206514835358,0.9977642893791199,0.12196663022041321,0.9796954393386841,0.9952622652053833,0.10379675030708313
7,0.9980683922767639,0.10045787692070007,0.9723519086837769,0.9944088459014893,0.0843837782740593,0.9974732995033264,0.10402094572782516,0.9813874959945679,0.9962775111198425,0.11559171229600906
8,0.9977948069572449,0.10094857960939407,0.9728957414627075,0.9944362044334412,0.0861964300274849,0.9971035718917847,0.10586594045162201,0.9759729504585266,0.9935702085494995,0.11724259704351425
9,0.9972270131111145,0.08942902833223343,0.9668004512786865,0.9937069416046143,0.09928915649652481,0.997012197971344,0.12791737914085388,0.968189537525177,0.9942470192909241,0.11978132277727127
10,0.998139500617981,0.09819132089614868,0.9705028533935547,0.9958734512329102,0.0881771519780159,0.997546374797821,0.10889189690351486,0.9796954393386841,0.9969543218612671,0.11473057419061661
11,0.998367965221405,0.10845886170864105,0.9750682711601257,0.996806263923645,0.07910599559545517,0.9973835945129395,0.09563066810369492,0.9813874959945679,0.9966158866882324,0.11792252212762833
12,0.998283326625824,0.10264471918344498,0.972881019115448,0.9962363243103027,0.08107698708772659,0.9967455267906189,0.09701317548751831,0.9793570041656494,0.9952622652053833,0.11869435012340546
13,0.9984145164489746,0.1084589958190918,0.9748051762580872,0.9948756098747253,0.07547921687364578,0.9972581267356873,0.12086120247840881,0.978341817855835,0.9959390759468079,0.10740817338228226
14,0.9983044862747192,0.10709509253501892,0.9742182493209839,0.995858371257782,0.07869301736354828,0.9973937273025513,0.10572975128889084,0.9847715497016907,0.995600700378418,0.10916884988546371
15,0.9982231259346008,0.1018291488289833,0.9772046208381653,0.9962171316146851,0.0840887725353241,0.9977384209632874,0.12586289644241333,0.9810490608215332,0.9949238300323486,0.10489477217197418
16,0.9984463453292847,0.11492610722780228,0.9777721166610718,0.9971007108688354,0.07493901997804642,0.9977806210517883,0.11360877007246017,0.9817258715629578,0.9952622652053833,0.10578138381242752
