epoch,auc,loss,lr,precision,recall,recall_1,val_auc,val_loss,val_precision,val_recall,val_recall_1
0,0.9860929,0.28506492210258416,5e-05,0.3882179,0.687568,0.9839275,0.9937932,0.16246721967701663,0.38712502,0.85328287,0.9918348
1,0.9862039,0.2835699268704159,5e-05,0.38826057,0.689587,0.98398507,0.9935732,0.16166684116232452,0.37802696,0.8529052,0.9902114
2,0.9862911,0.2823562756524884,5e-05,0.388285,0.69126374,0.9840637,0.9937831,0.15785194815711764,0.3849801,0.8500599,0.99095714
3,0.9863753,0.2812508601490436,5e-05,0.38834155,0.692616,0.9840749,0.99385834,0.15767260378382594,0.3955586,0.8403643,0.98999876
