epoch,auc,loss,lr,precision,recall,recall_1,val_auc,val_loss,val_precision,val_recall,val_recall_1
0,0.8545113205909729,0.16169340908527374,3.3333334e-05,0.5235561728477478,0.30953970551490784,0.9213328957557678,0.85050368309021,0.040448807179927826,0.9319576621055603,0.0913032814860344,0.305885374546051
1,0.9723401069641113,0.0190740916877985,3.3333334e-05,0.8601706624031067,0.6239469647407532,0.8101163506507874,0.9846843481063843,0.012253722175955772,0.8806911706924438,0.6111308932304382,0.7997463941574097
2,0.9842155575752258,0.009892514906823635,3.3333334e-05,0.8666117191314697,0.6762630343437195,0.83665531873703,0.9801685810089111,0.009768427349627018,0.840063214302063,0.6896879076957703,0.8372162580490112
3,0.9858914017677307,0.008674941025674343,3.3333334e-05,0.8709235191345215,0.694672703742981,0.8573410511016846,0.9817498326301575,0.009347640909254551,0.8327152132987976,0.7109349370002747,0.8557516932487488
4,0.9875547885894775,0.008238520473241806,3.3333334e-05,0.8739782571792603,0.7042176723480225,0.8685386180877686,0.9801371693611145,0.009514253586530685,0.8229526281356812,0.7050281763076782,0.852735698223114
5,0.9885916113853455,0.007974797859787941,3.3333334e-05,0.8759086728096008,0.710711658000946,0.8755465149879456,0.9804935455322266,0.009225893765687943,0.8519192337989807,0.693122148513794,0.8521556258201599
6,0.9892696142196655,0.00778160709887743,3.3333334e-05,0.8772955536842346,0.7156330347061157,0.8807128667831421,0.9757388234138489,0.009341307915747166,0.8924063444137573,0.657787561416626,0.8226738572120667
