epoch,decision_output_auc,decision_output_loss,decision_output_precision,decision_output_recall,decision_output_recall_1,loss,onset_probs_c_precision,onset_probs_c_recall,onset_probs_c_recall_1,onset_probs_loss,val_decision_output_auc,val_decision_output_loss,val_decision_output_precision,val_decision_output_recall,val_decision_output_recall_1,val_loss,val_onset_probs_c_precision,val_onset_probs_c_recall,val_onset_probs_c_recall_1,val_onset_probs_loss
0,0.925447940826416,0.33614739775657654,0.050338905304670334,0.6297906637191772,0.9532974362373352,0.33648577332496643,0.04466694965958595,0.35998618602752686,0.9443100690841675,0.33846306800842285,0.7307697534561157,0.5568926930427551,0.007220952305942774,0.42777058482170105,0.99956876039505,0.5572956800460815,0.006455698050558567,0.15616197884082794,0.9917253255844116,0.40293213725090027
1,0.9426862001419067,0.297367125749588,0.06202219799160957,0.6859200596809387,0.954954981803894,0.297685444355011,0.05309990420937538,0.49006834626197815,0.9486270546913147,0.318332701921463,0.6799534559249878,0.5760952830314636,0.005665391683578491,0.23027166724205017,0.99956876039505,0.5765181183815002,0.0017960359109565616,0.034683097153902054,0.9957746267318726,0.42289483547210693
2,0.9552500247955322,0.2651118338108063,0.07768938690423965,0.7293848991394043,0.9567816853523254,0.26541322469711304,0.06512725353240967,0.5782369375228882,0.9555263519287109,0.3014395833015442,0.539730966091156,0.5712786912918091,0.003306570230051875,0.0780508816242218,0.9633462429046631,0.5716665983200073,0.004452540073543787,0.003873239504173398,0.9778168797492981,0.3878590166568756
3,0.963427722454071,0.23580098152160645,0.09267588704824448,0.7552345991134644,0.9552618265151978,0.23607970774173737,0.0777013823390007,0.6392504572868347,0.9544332027435303,0.2786860764026642,0.5509614944458008,0.5203430652618408,0.002556610619649291,0.0030185424257069826,0.6735661625862122,0.5206877589225769,0.008322237059473991,0.004401408601552248,0.7887324094772339,0.3446594178676605
4,0.9679948687553406,0.21927465498447418,0.10173558443784714,0.7745569944381714,0.9552202224731445,0.21953989565372467,0.08107426762580872,0.6805239319801331,0.9564292430877686,0.2652384042739868,0.4395371079444885,0.6520751118659973,0.0019774483516812325,0.08689089864492416,0.926261305809021,0.6524870991706848,0.004671904724091291,0.011619718745350838,0.9345070719718933,0.41202113032341003
5,0.9702539443969727,0.21731309592723846,0.10704738646745682,0.7912299036979675,0.9583303332328796,0.21757788956165314,0.08428183197975159,0.7120587229728699,0.956548273563385,0.26474905014038086,0.6118923425674438,0.5479921102523804,0.005740618798881769,0.14100906252861023,0.926261305809021,0.5483492612838745,0.007097133435308933,0.008978873491287231,0.8598591685295105,0.35711470246315
6,0.9757291674613953,0.19603100419044495,0.11862417310476303,0.814803421497345,0.9618553519248962,0.1962820440530777,0.0878528356552124,0.7516246438026428,0.9632190465927124,0.25112101435661316,0.6639540791511536,0.5150769352912903,0.01091567799448967,0.1520051807165146,0.9486847519874573,0.5154179930686951,0.019616391509771347,0.007922534830868244,0.9329225420951843,0.3410308063030243
7,0.9756888151168823,0.191471666097641,0.118911013007164,0.8136037588119507,0.9603186845779419,0.19171419739723206,0.09059357643127441,0.7459189295768738,0.9584799408912659,0.24259521067142487,0.6508326530456543,0.4705256223678589,0.002148997038602829,0.0006468305364251137,0.7151789665222168,0.4708450436592102,0.01886792480945587,0.00017605633183848113,0.626232385635376,0.3194234073162079
8,0.9776759743690491,0.1850459724664688,0.12716171145439148,0.8224751353263855,0.960564911365509,0.185287207365036,0.09257403761148453,0.7643393874168396,0.9607440233230591,0.24128343164920807,0.6333473324775696,0.49862539768218994,0.0074599990621209145,0.06252694875001907,0.890038788318634,0.49896013736724854,0.007692307699471712,0.00017605633183848113,0.7617957592010498,0.3347650468349457
9,0.9794370532035828,0.17585434019565582,0.13036125898361206,0.8268470764160156,0.9630200266838074,0.1760869175195694,0.09722013026475906,0.7650383114814758,0.9608957767486572,0.23259061574935913,0.6100301146507263,0.5301958322525024,0.0061349691823124886,0.00043122036731801927,0.3143596351146698,0.530526876449585,0.0,0.0,0.2873239517211914,0.3310627043247223
